Id,SalePrice
1461,118734.234
1462,151916.55
1463,170985.72
1464,187378.11
1465,197097.1
1466,164773.62
1467,171474.16
1468,160696.19
1469,190902.44
1470,119683.86
1471,190379.55
1472,90995.32
1473,91260.3
1474,146714.66
1475,115677.75
1476,345660.38
1477,246159.31
1478,293988.4
1479,283853.28
1480,474910.5
1481,369384.94
1482,214392.83
1483,171474.16
1484,159687.28
1485,190020.03
1486,190902.44
1487,345660.38
1488,233554.4
1489,189777.0
1490,246159.31
1491,190902.44
1492,92798.02
1493,188327.44
1494,293988.4
1495,293988.4
1496,237149.34
1497,194250.78
1498,167434.53
1499,164541.38
1500,156936.81
1501,177667.56
1502,146714.66
1503,298197.75
1504,239800.45
1505,223840.22
1506,190650.62
1507,237878.72
1508,191617.81
1509,159687.73
1510,148478.36
1511,151668.42
1512,169692.16
1513,158605.73
1514,152071.36
1515,189820.62
1516,153658.64
1517,171675.1
1518,134994.12
1519,205369.05
1520,127877.61
1521,134629.12
1522,162946.69
1523,111651.33
1524,136889.52
1525,100173.45
1526,98276.01
1527,109433.0
1528,132162.6
1529,151668.42
1530,192982.25
1531,111168.53
1532,94989.81
1533,143719.2
1534,136936.66
1535,142490.92
1536,108244.12
1537,60987.652
1538,151668.42
1539,196427.0
1540,89183.91
1541,135771.52
1542,134155.42
1543,168132.98
1544,100725.914
1545,118734.234
1546,134761.7
1547,110481.95
1548,132153.52
1549,115113.84
1550,135956.4
1551,108244.12
1552,135956.4
1553,150007.83
1554,118734.234
1555,148431.5
1556,96525.46
1557,110021.11
1558,103550.66
1559,92734.234
1560,130652.36
1561,130720.29
1562,136936.66
1563,117442.51
1564,161622.81
1565,152071.36
1566,237149.34
1567,80759.71
1568,234032.66
1569,123597.586
1570,119666.74
1571,115015.195
1572,135677.03
1573,237149.34
1574,119926.66
1575,219094.33
1576,253800.16
1577,172879.72
1578,153658.64
1579,131780.48
1580,190020.03
1581,157471.14
1582,133854.45
1583,281889.1
1584,206750.16
1585,132385.88
1586,60987.652
1587,105629.586
1588,151668.42
1589,108759.84
1590,132728.2
1591,99674.766
1592,114098.586
1593,135525.33
1594,111542.13
1595,111764.47
1596,209417.02
1597,185735.44
1598,219094.33
1599,165668.12
1600,160400.98
1601,60987.652
1602,118734.234
1603,93764.94
1604,262783.53
1605,256895.98
1606,162577.1
1607,168132.98
1608,227425.7
1609,171474.16
1610,154002.67
1611,143195.5
1612,164932.25
1613,161331.28
1614,136764.64
1615,91260.3
1616,80759.71
1617,84937.34
1618,124123.35
1619,140437.61
1620,152819.22
1621,135450.27
1622,143811.62
1623,263507.03
1624,210299.02
1625,121683.11
1626,177667.56
1627,189777.0
1628,281889.1
1629,192982.25
1630,345660.38
1631,223840.22
1632,237149.34
1633,173591.94
1634,191142.9
1635,170775.17
1636,152880.0
1637,207214.81
1638,194250.78
1639,193179.1
1640,254208.08
1641,192906.98
1642,262783.53
1643,215551.97
1644,246159.31
1645,190902.44
1646,158076.77
1647,160121.6
1648,134121.78
1649,137805.1
1650,110646.555
1651,118734.234
1652,83637.88
1653,108759.84
1654,157760.94
1655,132165.98
1656,143080.42
1657,151605.23
1658,151658.88
1659,112447.75
1660,160121.6
1661,413684.12
1662,396154.3
1663,373704.9
1664,483354.5
1665,320631.22
1666,332498.8
1667,413684.12
1668,345660.38
1669,330052.88
1670,345660.38
1671,263084.2
1672,413684.12
1673,278994.22
1674,241684.47
1675,197656.33
1676,193179.1
1677,215551.97
1678,481182.25
1679,396154.3
1680,338152.94
1681,237878.72
1682,321056.84
1683,172668.64
1684,170903.23
1685,162946.69
1686,164541.38
1687,167487.23
1688,193677.89
1689,190902.44
1690,197097.1
1691,193081.84
1692,284378.9
1693,168059.08
1694,191142.9
1695,177667.56
1696,266338.22
1697,168132.98
1698,345660.38
1699,317548.3
1700,239800.45
1701,284378.9
1702,230250.31
1703,241684.47
1704,284378.9
1705,239800.45
1706,373704.9
1707,215551.97
1708,191617.81
1709,262710.62
1710,213567.78
1711,281889.1
1712,237878.72
1713,278994.22
1714,223840.22
1715,219011.6
1716,183387.1
1717,171474.16
1718,134738.83
1719,209168.11
1720,230250.31
1721,163294.06
1722,136764.64
1723,158076.77
1724,197097.1
1725,246159.31
1726,188096.97
1727,154002.67
1728,166874.84
1729,164366.66
1730,167121.06
1731,117855.07
1732,122772.414
1733,115677.75
1734,118210.1
1735,130213.76
1736,110718.44
1737,217439.48
1738,262783.53
1739,241684.47
1740,188108.27
1741,172668.64
1742,166697.33
1743,171474.16
1744,407809.6
1745,223840.22
1746,193677.89
1747,219011.6
1748,223521.52
1749,145969.67
1750,136764.64
1751,305314.16
1752,120667.086
1753,151916.55
1754,193677.89
1755,161331.28
1756,128515.805
1757,120802.5
1758,151668.42
1759,159687.73
1760,167033.27
1761,159063.66
1762,170797.33
1763,191142.9
1764,110646.555
1765,165764.22
1766,189777.0
1767,215521.97
1768,144249.11
1769,168504.92
1770,153870.11
1771,121746.14
1772,136889.52
1773,135504.9
1774,142959.16
1775,134188.69
1776,138334.17
1777,105808.65
1778,148478.36
1779,114312.06
1780,168622.9
1781,127295.02
1782,96525.46
1783,119666.74
1784,107839.59
1785,128515.805
1786,132153.52
1787,164366.66
1788,60987.652
1789,108759.84
1790,74290.27
1791,172668.64
1792,159972.31
1793,134996.33
1794,157913.73
1795,136936.66
1796,132176.95
1797,113286.36
1798,122287.12
1799,108244.12
1800,138033.44
1801,121500.24
1802,136301.36
1803,151916.55
1804,128867.18
1805,134573.94
1806,133496.36
1807,139152.4
1808,136515.22
1809,125669.04
1810,134188.69
1811,90995.32
1812,88299.09
1813,110481.95
1814,98273.76
1815,60054.25
1816,104912.164
1817,106062.33
1818,149691.14
1819,135569.4
1820,60987.652
1821,115015.195
1822,147620.62
1823,61496.25
1824,136889.52
1825,137110.97
1826,108759.84
1827,102390.805
1828,133511.38
1829,127040.7
1830,133952.92
1831,142959.16
1832,60987.652
1833,130898.43
1834,120667.086
1835,117078.62
1836,121746.14
1837,97292.08
1838,118210.1
1839,108074.85
1840,148478.36
1841,135450.27
1842,91504.93
1843,121500.24
1844,154785.4
1845,151667.84
1846,158076.77
1847,159418.4
1848,60054.25
1849,109878.81
1850,118734.234
1851,146371.0
1852,120801.12
1853,122772.414
1854,167640.81
1855,158605.73
1856,223840.22
1857,138620.61
1858,137562.97
1859,119013.57
1860,153246.83
1861,119111.56
1862,345660.38
1863,333156.8
1864,333156.8
1865,373580.9
1866,373580.9
1867,222127.28
1868,285179.56
1869,207214.81
1870,223840.22
1871,267903.38
1872,161644.84
1873,239796.56
1874,158405.14
1875,191617.81
1876,197097.1
1877,210299.02
1878,212385.06
1879,135525.33
1880,133496.36
1881,246159.31
1882,231023.23
1883,188327.44
1884,206157.7
1885,230250.31
1886,285179.56
1887,224272.69
1888,287607.38
1889,166697.33
1890,114317.73
1891,138620.61
1892,103638.58
1893,134277.03
1894,121356.06
1895,133451.3
1896,136889.52
1897,111531.5
1898,102403.984
1899,161331.28
1900,164194.62
1901,159249.89
1902,151916.55
1903,206750.16
1904,142959.16
1905,188108.27
1906,145386.16
1907,196361.25
1908,109878.81
1909,133789.88
1910,125669.04
1911,214647.94
1912,345660.38
1913,131780.48
1914,71780.85
1915,317297.06
1916,60987.652
1917,247493.03
1918,132153.52
1919,166874.84
1920,165408.44
1921,386135.75
1922,321056.84
1923,237878.72
1924,210498.88
1925,191617.81
1926,364254.1
1927,138922.62
1928,161587.05
1929,125669.04
1930,139422.86
1931,139782.06
1932,142959.16
1933,174801.17
1934,168153.03
1935,167033.27
1936,189207.03
1937,191142.9
1938,170226.55
1939,237878.72
1940,190020.03
1941,168504.92
1942,189820.62
1943,216570.28
1944,396154.3
1945,413684.12
1946,135479.97
1947,259919.5
